customer_id,city,age_group,segment,signup_date
C00243,Rajshahi,55+,Regular,2024-12-17
C00244,Khulna,25-34,Regular,2025-03-16
C00245,Dhaka,18-24,Occasional,2025-10-11
C00246,Dhaka,18-24,Occasional,2024-06-15
C00247,Chittagong,35-44,Regular,2024-06-01
C00248,Dhaka,25-34,Occasional,2024-03-11
C00249,Dhaka,35-44,Regular,2024-02-11
C00250,Chittagong,45-54,Regular,2024-03-28
C00251,Dhaka,25-34,Occasional,2025-07-07
C00252,Dhaka,25-34,Occasional,2025-02-22
C00253,Chittagong,18-24,Regular,2024-02-09
C00254,Dhaka,45-54,Regular,2024-07-06
C00255,Dhaka,25-34,Regular,2024-03-13
C00256,Dhaka,18-24,High Value,2024-05-18
C00257,Dhaka,35-44,Occasional,2024-04-18
C00258,Dhaka,25-34,High Value,2025-02-06
C00259,Dhaka,25-34,Regular,2025-05-07
C00260,Chittagong,25-34,Occasional,2024-05-07
C00261,Khulna,25-34,Occasional,2024-01-26
C00262,Chittagong,35-44,High Value,2025-06-20
C00263,Sylhet,18-24,Regular,2024-09-07
C00264,Chittagong,25-34,High Value,2024-03-03
C00265,Dhaka,45-54,Regular,2024-03-17
C00266,Rajshahi,25-34,Occasional,2024-02-14
C00267,Chittagong,25-34,High Value,2025-07-12
C00268,Dhaka,25-34,Occasional,2024-03-30
C00269,Dhaka,25-34,Regular,2024-08-14
C00270,Dhaka,35-44,Occasional,2025-04-11
C00271,Dhaka,25-34,Occasional,2025-02-09
C00272,Dhaka,18-24,Regular,2025-08-15
C00273,Chittagong,18-24,Regular,2024-10-21
C00274,Dhaka,25-34,Regular,2024-02-04
C00275,Dhaka,18-24,Regular,2024-07-09
C00276,Chittagong,18-24,Regular,2025-07-16
C00277,Dhaka,25-34,High Value,2025-03-13
C00278,Dhaka,35-44,Regular,2025-02-01
C00279,Dhaka,25-34,Regular,2024-10-11
C00280,Dhaka,25-34,High Value,2025-07-20
C00281,Chittagong,25-34,Regular,2024-02-11
C00282,Dhaka,25-34,Regular,2025-04-22
C00283,Dhaka,35-44,Occasional,2024-01-14
C00284,Chittagong,45-54,Occasional,2025-10-26
C00285,Dhaka,18-24,Occasional,2024-07-27
C00286,Rajshahi,35-44,Occasional,2024-07-15
C00287,Dhaka,25-34,Occasional,2025-02-15
C00288,Dhaka,35-44,Regular,2025-10-27
C00289,Dhaka,25-34,Regular,2024-07-12
C00290,Dhaka,35-44,Regular,2025-02-14
C00291,Dhaka,18-24,High Value,2025-06-06
C00292,Chittagong,25-34,Occasional,2024-08-17
C00293,Dhaka,25-34,Occasional,2025-06-02
C00294,Dhaka,18-24,Occasional,2024-07-07
C00295,Chittagong,18-24,Occasional,2025-07-14
C00296,Dhaka,18-24,Occasional,2024-08-28
C00297,Dhaka,25-34,Occasional,2024-02-01
C00298,Dhaka,55+,Regular,2024-10-29
C00299,Khulna,25-34,Occasional,2024-08-13
C00300,Dhaka,25-34,Occasional,2024-06-26
C00301,Dhaka,25-34,Regular,2024-05-25
C00302,Khulna,45-54,Occasional,2024-01-19
C00303,Dhaka,25-34,Regular,2025-09-07
C00304,Dhaka,25-34,Regular,2025-09-24
C00305,Rajshahi,18-24,Occasional,2024-06-24
C00306,Dhaka,25-34,Regular,2025-01-24
C00307,Sylhet,18-24,Occasional,2025-07-17
C00308,Dhaka,35-44,Occasional,2024-02-17
C00309,Dhaka,25-34,High Value,2025-05-11
C00310,Sylhet,18-24,Regular,2024-06-16
C00311,Chittagong,25-34,Regular,2025-10-05
C00312,Dhaka,45-54,Regular,2024-04-04
C00313,Dhaka,18-24,High Value,2024-03-20
C00314,Chittagong,25-34,Occasional,2024-12-28
C00315,Chittagong,25-34,Occasional,2025-04-16
C00316,Dhaka,18-24,Regular,2025-06-11
C00317,Dhaka,25-34,Occasional,2024-09-07
C00318,Dhaka,25-34,Occasional,2024-01-27
C00319,Khulna,45-54,Occasional,2025-04-20
C00320,Dhaka,55+,High Value,2024-10-29
C00321,Khulna,35-44,Regular,2025-08-27
C00322,Sylhet,45-54,Occasional,2024-01-09
C00323,Dhaka,18-24,High Value,2025-09-21
C00324,Dhaka,35-44,Regular,2024-03-28
C00325,Sylhet,25-34,Regular,2024-01-11
C00326,Dhaka,25-34,Regular,2025-06-29
C00327,Chittagong,35-44,High Value,2025-04-07
C00328,Chittagong,25-34,Occasional,2024-01-03
C00329,Chittagong,25-34,Occasional,2025-04-18
C00330,Dhaka,18-24,Regular,2024-08-29
C00331,Sylhet,35-44,Occasional,2025-05-11
C00332,Dhaka,25-34,Regular,2024-06-24
C00333,Dhaka,25-34,Regular,2024-01-21
C00334,Chittagong,25-34,Occasional,2024-05-12
C00335,Dhaka,18-24,Regular,2025-04-12
C00336,Dhaka,25-34,Regular,2024-09-17
C00337,Dhaka,18-24,Occasional,2024-01-29
C00338,Sylhet,25-34,Regular,2025-02-07
C00339,Khulna,18-24,Regular,2024-10-11
C00340,Chittagong,25-34,Occasional,2025-01-17
C00341,Dhaka,55+,High Value,2025-07-31
C00342,Chittagong,18-24,Regular,2024-04-10
C00343,Sylhet,45-54,Occasional,2024-05-29
C00344,Dhaka,45-54,Regular,2024-10-07
C00345,Rajshahi,18-24,High Value,2025-08-15
C00346,Dhaka,25-34,Occasional,2024-09-05
C00347,Dhaka,45-54,Regular,2025-08-19
C00348,Rajshahi,25-34,Regular,2025-09-26
C00349,Dhaka,25-34,Regular,2024-03-25
C00350,Sylhet,25-34,Regular,2025-03-12
C00351,Dhaka,18-24,Occasional,2025-02-11
C00352,Dhaka,55+,Regular,2024-03-30
C00353,Rajshahi,18-24,Occasional,2025-02-13
C00354,Chittagong,25-34,Regular,2024-07-03
C00355,Chittagong,25-34,High Value,2025-02-14
C00356,Dhaka,18-24,Regular,2024-10-17
C00357,Dhaka,18-24,Regular,2024-10-14
C00358,Chittagong,25-34,Regular,2024-02-06
C00359,Khulna,25-34,Occasional,2024-02-20
C00360,Dhaka,18-24,Occasional,2024-01-13
C00361,Dhaka,18-24,Regular,2025-09-19
C00362,Chittagong,35-44,Occasional,2025-04-29
C00363,Dhaka,25-34,Regular,2025-09-19
C00364,Chittagong,25-34,Regular,2025-03-05
C00365,Chittagong,35-44,Occasional,2025-06-08
C00366,Khulna,25-34,Regular,2025-02-09
C00367,Dhaka,25-34,Regular,2024-10-25
C00368,Dhaka,18-24,High Value,2025-03-15
C00369,Dhaka,25-34,Regular,2024-08-28
C00370,Chittagong,35-44,Occasional,2024-05-16
C00371,Dhaka,35-44,Occasional,2025-09-18
C00372,Dhaka,18-24,Regular,2024-11-29
C00373,Dhaka,45-54,Regular,2024-11-12
C00374,Dhaka,25-34,Regular,2024-04-30
C00375,Dhaka,35-44,Regular,2024-01-24
C00376,Dhaka,18-24,Occasional,2025-03-12
C00377,Chittagong,25-34,Regular,2024-06-20
C00378,Chittagong,45-54,Regular,2025-05-20
C00379,Khulna,18-24,Occasional,2025-03-11
C00380,Sylhet,55+,High Value,2025-10-05
C00381,Dhaka,25-34,High Value,2025-05-30
C00382,Dhaka,35-44,Regular,2025-04-18
C00383,Dhaka,35-44,High Value,2025-09-01
C00384,Dhaka,25-34,High Value,2025-06-09
C00385,Chittagong,18-24,Regular,2025-03-03
C00386,Dhaka,25-34,Occasional,2024-02-26
C00387,Dhaka,25-34,Regular,2025-09-20
C00388,Chittagong,25-34,Occasional,2024-04-23
C00389,Sylhet,25-34,Occasional,2024-09-18
C00390,Chittagong,18-24,Occasional,2024-05-29
C00391,Dhaka,18-24,Occasional,2025-04-01
C00392,Dhaka,25-34,Occasional,2025-05-01
C00393,Sylhet,35-44,Regular,2024-05-07
C00394,Dhaka,18-24,Regular,2025-10-23
C00395,Dhaka,45-54,High Value,2024-10-29
C00396,Dhaka,35-44,Regular,2025-08-15
C00397,Dhaka,18-24,Occasional,2024-05-30
C00398,Dhaka,55+,High Value,2025-10-25
C00399,Khulna,25-34,Regular,2024-02-13
C00400,Dhaka,25-34,High Value,2025-04-16
C00401,Chittagong,18-24,Occasional,2024-11-12
C00402,Sylhet,25-34,Occasional,2025-03-28
C00403,Chittagong,25-34,Occasional,2024-02-09
C00404,Dhaka,18-24,Occasional,2024-01-14
C00405,Dhaka,25-34,Regular,2024-10-30
C00406,Chittagong,25-34,Occasional,2024-04-18
C00407,Chittagong,25-34,Regular,2024-04-10
C00408,Dhaka,25-34,Occasional,2024-03-12
C00409,Dhaka,25-34,Occasional,2025-01-03
C00410,Rajshahi,55+,Occasional,2025-03-15
C00411,Dhaka,35-44,High Value,2024-07-23
C00412,Rajshahi,25-34,High Value,2024-07-23
C00413,Dhaka,18-24,High Value,2024-06-29
C00414,Dhaka,45-54,Occasional,2024-10-04
C00415,Dhaka,25-34,High Value,2024-11-07
C00416,Dhaka,18-24,Regular,2024-01-09
C00417,Khulna,45-54,High Value,2025-06-10
C00418,Dhaka,18-24,Regular,2024-03-28
C00419,Dhaka,35-44,Regular,2025-06-04
C00420,Dhaka,25-34,Regular,2024-09-24
C00421,Dhaka,25-34,Regular,2025-06-02
C00422,Dhaka,25-34,Occasional,2025-07-17
C00423,Sylhet,25-34,Occasional,2024-04-19
C00424,Dhaka,18-24,High Value,2025-09-26
C00425,Dhaka,55+,Regular,2024-07-02
C00426,Chittagong,35-44,Regular,2024-11-05
C00427,Dhaka,18-24,Occasional,2024-12-25
C00428,Dhaka,25-34,High Value,2024-05-24
C00429,Sylhet,25-34,Occasional,2025-01-16
C00430,Dhaka,35-44,Regular,2024-03-20
C00431,Dhaka,45-54,Regular,2024-11-22
C00432,Dhaka,35-44,Occasional,2025-01-16
C00433,Chittagong,25-34,Regular,2025-08-11
C00434,Sylhet,35-44,Regular,2025-02-22
C00435,Dhaka,25-34,Occasional,2025-02-26
C00436,Dhaka,18-24,Regular,2024-06-26
C00437,Dhaka,35-44,Occasional,2025-01-17
C00438,Dhaka,35-44,Regular,2024-11-28
C00439,Rajshahi,18-24,Occasional,2025-01-06
C00440,Dhaka,45-54,Occasional,2024-07-02
C00441,Dhaka,35-44,Occasional,2025-10-30
C00442,Dhaka,18-24,High Value,2025-02-23
C00443,Chittagong,18-24,Regular,2024-06-22
C00444,Dhaka,18-24,Occasional,2024-11-01
C00445,Chittagong,18-24,Regular,2024-09-17
C00446,Dhaka,18-24,Regular,2024-07-24
C00447,Dhaka,18-24,Occasional,2025-05-20
C00448,Dhaka,55+,Regular,2024-04-17
C00449,Dhaka,25-34,Occasional,2025-04-06
C00450,Dhaka,25-34,Regular,2025-06-13
C00451,Dhaka,25-34,Occasional,2024-08-12
C00452,Sylhet,45-54,Occasional,2024-04-08
C00453,Dhaka,25-34,Occasional,2024-01-27
C00454,Chittagong,18-24,Regular,2025-10-15
C00455,Khulna,25-34,Regular,2025-06-21
C00456,Khulna,25-34,Occasional,2024-08-19
C00457,Dhaka,35-44,Regular,2025-02-01
C00458,Dhaka,18-24,Regular,2024-09-26
C00459,Dhaka,25-34,Occasional,2025-09-21
C00460,Dhaka,25-34,Regular,2024-03-12
C00461,Dhaka,45-54,Regular,2024-11-07
C00462,Dhaka,25-34,Regular,2025-05-25
C00463,Rajshahi,25-34,Occasional,2024-10-22
C00464,Khulna,18-24,Occasional,2025-05-02
C00465,Dhaka,25-34,Regular,2025-01-17
C00466,Dhaka,25-34,Regular,2024-12-05
C00467,Chittagong,18-24,High Value,2025-10-09
C00468,Dhaka,18-24,High Value,2025-08-05
C00469,Chittagong,25-34,High Value,2025-02-11
C00470,Chittagong,25-34,Regular,2025-09-07
C00471,Dhaka,18-24,Occasional,2024-01-24
C00472,Sylhet,35-44,Regular,2024-10-30
C00473,Dhaka,25-34,High Value,2025-03-18
C00474,Chittagong,18-24,Regular,2025-02-24
C00475,Chittagong,35-44,Regular,2024-07-27
C00476,Rajshahi,25-34,Regular,2025-04-06
C00477,Dhaka,35-44,Regular,2025-04-19
C00478,Chittagong,25-34,Occasional,2024-04-13
C00479,Chittagong,35-44,Regular,2025-09-05
C00480,Sylhet,35-44,Regular,2024-05-31
C00481,Rajshahi,25-34,Regular,2024-03-21
C00482,Dhaka,18-24,Occasional,2025-06-12
C00483,Dhaka,35-44,Occasional,2025-07-15
C00484,Dhaka,45-54,Regular,2024-09-23
C00485,Khulna,18-24,Regular,2025-04-02
C00486,Chittagong,25-34,Occasional,2025-04-17
C00487,Dhaka,18-24,High Value,2025-01-26
C00488,Chittagong,25-34,Occasional,2024-01-20
C00489,Dhaka,18-24,Occasional,2024-10-27
C00490,Dhaka,18-24,Occasional,2024-09-05
C00491,Chittagong,25-34,Regular,2024-07-22
C00492,Dhaka,25-34,Occasional,2024-04-03
C00493,Rajshahi,35-44,Occasional,2024-02-27
C00494,Dhaka,25-34,Regular,2025-01-11
C00495,Dhaka,35-44,Regular,2024-09-16
C00496,Dhaka,18-24,Regular,2025-10-13
C00497,Dhaka,18-24,Regular,2024-08-16
C00498,Dhaka,25-34,Regular,2024-03-24
C00499,Dhaka,25-34,Occasional,2024-06-15
C00500,Dhaka,35-44,High Value,2025-02-11
C00501,Chittagong,25-34,High Value,2024-09-03
C00502,Khulna,18-24,High Value,2025-10-19
C00503,Sylhet,35-44,Occasional,2024-08-08
C00504,Chittagong,18-24,Regular,2024-10-01
C00505,Dhaka,25-34,Occasional,2024-04-04
C00506,Dhaka,25-34,Occasional,2025-04-14
C00507,Dhaka,25-34,Regular,2024-07-30
C00508,Dhaka,25-34,Occasional,2025-03-09
C00509,Dhaka,18-24,Occasional,2024-04-16
C00510,Dhaka,45-54,Regular,2025-08-25
C00511,Dhaka,25-34,Regular,2025-08-23
C00512,Dhaka,35-44,Regular,2025-02-22
C00513,Dhaka,18-24,Occasional,2025-01-17
C00514,Dhaka,55+,Regular,2025-06-03
C00515,Chittagong,35-44,Occasional,2024-11-23
C00516,Chittagong,25-34,Occasional,2025-07-07
C00517,Dhaka,25-34,Occasional,2024-08-24
C00518,Rajshahi,55+,Occasional,2025-09-23
C00519,Khulna,18-24,High Value,2025-10-23
C00520,Dhaka,18-24,Regular,2024-08-26
C00521,Dhaka,25-34,High Value,2024-06-29
C00522,Dhaka,25-34,Occasional,2025-10-03
C00523,Sylhet,35-44,High Value,2024-09-03
C00524,Dhaka,25-34,Regular,2024-01-27
C00525,Chittagong,25-34,Regular,2025-07-27
C00526,Dhaka,25-34,Regular,2025-10-23
C00527,Dhaka,25-34,Occasional,2025-04-26
C00528,Dhaka,25-34,Occasional,2025-10-22
C00529,Rajshahi,25-34,Occasional,2025-05-10
C00530,Chittagong,25-34,High Value,2024-11-17
C00531,Dhaka,25-34,Occasional,2025-02-04
C00532,Chittagong,45-54,Regular,2024-08-11
C00533,Khulna,25-34,Occasional,2025-09-17
C00534,Chittagong,35-44,Occasional,2024-03-23
C00535,Dhaka,18-24,Regular,2024-06-04
C00536,Sylhet,25-34,Regular,2025-05-01
C00537,Dhaka,25-34,Occasional,2024-01-07
C00538,Dhaka,25-34,Regular,2025-01-15
C00539,Chittagong,25-34,Regular,2024-01-19
C00540,Chittagong,25-34,High Value,2025-07-02
C00541,Dhaka,35-44,Regular,2024-09-28
C00542,Dhaka,35-44,Regular,2024-10-09
C00543,Dhaka,18-24,Occasional,2024-04-30
C00544,Khulna,25-34,High Value,2025-04-25
C00545,Sylhet,35-44,Regular,2025-07-30
C00546,Rajshahi,25-34,High Value,2025-07-20
C00547,Dhaka,35-44,Regular,2025-07-11
C00548,Dhaka,25-34,Regular,2024-02-19
C00549,Dhaka,25-34,Occasional,2025-07-11
C00550,Rajshahi,25-34,Occasional,2024-05-24
C00551,Rajshahi,25-34,Regular,2024-05-14
